Date,Description,Amount,Address,City/State,Zip Code,Country,Category,,,,,
03/28/22,www.cvs.com 00000269800-746-7287        RI,5.33,1 CVS DR,"WOONSOCKET
RI",02895-6146,UNITED STATES,Health Care,,,,,
03/31/22,E-Payment,700.00,,,,,Housing,,,,,
03/31/22,BRILLIANTEARTHLLC   SAN FRANCISCO       CA,2924.64,300 GRANT AVE,"SAN FRANCISCO
CA",94108,UNITED STATES,Misc,,,,,
04/02/22,BARNES & NOBLE      CLARK               NJ,56.50,1180 RARITAN RD,"CLARK
NJ",7066,UNITED STATES,Books,,,,,
04/03/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
04/04/22,EBAY O*22-08465-8277SAN JOSE,79.76,2535 North First Street,"SAN JOSE
CA",95131,UNITED STATES,Art,,,,,
04/05/22,"MERWIN'S ART SHOP, LNEW HAVEN           CT",79.76,1052 CHAPEL ST,"NEW HAVEN
CT",06510-0000,UNITED STATES,Art,,,,,
04/06/22,AplPay CHIPOTLE     MILFORD             CT,14.38,1319 BOSTON POST RD SPC 4B,"MILFORD
CT",6460,UNITED STATES,Restaurants,,,,,
04/06/22,"MERWIN'S ART SHOP, LNEW HAVEN           CT",79.76,1052 CHAPEL ST,"NEW HAVEN
CT",06510-0000,UNITED STATES,Art,,,,,
04/08/22,EBAY O*23-08483-9769SAN JOSE,46.58,2535 North First Street,"SAN JOSE
CA",95131,UNITED STATES,Art,,,,,
04/09/22,SUPER STOP & SHOP   WEST HAVEN          CT,24.95,410 ELM ST,"WEST HAVEN
CT",6516,UNITED STATES,Groceries,,,,,
04/09/22,THE HOME DEPOT      ORANGE              CT,26.39,"440 BOSTON POST RD
-","ORANGE
CT",06477-3538,UNITED STATES,Furniture,,,,,
04/11/22,BARNES & NOBLE      MILFORD             CT,4.18,1375 BOSTON POST RD,"MILFORD
CT",6460,UNITED STATES,Books,,,,,
04/18/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,25.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
04/21/22,E-Payment,173.00,,,,,Car Loan,,,,,
04/21/22,E-Payment,116.00,,,,,Car Insurance,,,,,
04/21/22,EBAY O*04-08539-5482SAN JOSE,26.59,2535 North First Street,"SAN JOSE
CA",95131,UNITED STATES,Art,,,,,
04/21/22,HAMDEN MAZDA ISUZU 0HAMDEN              CT,170.15,200 SKIFF ST,"HAMDEN
CT",06517-1004,UNITED STATES,Car Maintenance,,,,,
04/21/22,SKULL & COMBS CO.   New Haven           CT,46.25,832 STATE ST,"NEW HAVEN
CT",6511,UNITED STATES,Misc,,,,,
04/22/22,AplPay PARKMOBILE   NEWARK              NJ,1.95,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
04/22/22,AplPay PARKMOBILE   NEWARK              NJ,3.45,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
04/22/22,GOURMET DINING288834NEWARK              NJ,1.95,150 BLEEKER ST,"NEWARK
NJ",7103,UNITED STATES,Restaurants,,,,,
04/22/22,GOURMET DINING288834NEWARK              NJ,7.99,150 BLEEKER ST,"NEWARK
NJ",7103,UNITED STATES,Restaurants,,,,,
04/22/22,GOURMET DINING288834NEWARK              NJ,8.99,150 BLEEKER ST,"NEWARK
NJ",7103,UNITED STATES,Restaurants,,,,,
04/23/22,AplPay PARKMOBILE   HOBOKEN             NJ,1.35,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
04/23/22,AplPay PARKMOBILE   HOBOKEN             NJ,3.35,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
04/28/22,CVS CarePass 0000026800-746-7287        RI,5.00,1CVSDRIVE,"WOONSOCKET
RI",2895,UNITED STATES,Health Care,,,,,
04/30/22,AplPay PARKMOBILE   HOBOKEN             NJ,0.85,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
04/30/22,AplPay PARKMOBILE   HOBOKEN             NJ,0.85,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
04/30/22,AplPay PARKMOBILE   HOBOKEN             NJ,1.35,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
04/30/22,AplPay PARKMOBILE   HOBOKEN             NJ,1.85,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
04/30/22,EBAY O*09-08570-7505SAN JOSE,218.19,2535 North First Street,"SAN JOSE
CA",95131,UNITED STATES,Art,,,,,
04/30/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,25.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
05/01/22,EBAY O*07-08574-8260SAN JOSE,21.27,2535 North First Street,"SAN JOSE
CA",95131,UNITED STATES,Art,,,,,
05/03/22,E-Payment,546.38,,,,,Housing,,,,,
05/03/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
05/03/22,AplPay PARKMOBILE   HOBOKEN             NJ,0.85,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
05/03/22,AplPay PARKMOBILE   HOUSTON             TX,1.70,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
05/03/22,AplPay PARKMOBILE   NEWARK              NJ,4.20,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
05/03/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,35.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
05/03/22,SLING TV LLC        888-363-1777        CO,18.61,9601 SOUTH MERIDIAN BLVD,"ENGLEWOOD
CO",80112,UNITED STATES,Entertainment,,,,,
05/05/22,USPS PO 0847260511 0NEW HAVEN           CT,1.79,50 BREWERY ST,"NEW HAVEN
CT",6511,UNITED STATES,Misc,,,,,
05/09/22,STOP & SHOP #2633   NEW HAVEN           CT,24.30,140 WHALLEY AVE,"NEW HAVEN
CT",6511,UNITED STATES,Groceries,,,,,
05/10/22,CORNELL STORE ONLINEITHACA              NY,23.19,135 HO PLZ,"ITHACA
NY",14853,UNITED STATES,Clothing,,,,,
05/11/22,EBAY O*11-08615-9192SAN JOSE,32.48,2535 North First Street,"SAN JOSE
CA",95131,UNITED STATES,Art,,,,,
05/15/22,CAMPUS TO CAMPUS    ITHACA              NY,82.50,311 EAST PALM RD,"ITHACA
NY",14850,UNITED STATES,Gas,,,,,
05/15/22,WALGREENS           RIVERSIDE           CT,7.80,1333 EAST PUTNAM AVE,"RIVERSIDE
CT",6878,UNITED STATES,Misc,,,,,
05/16/22,AUTOZONE # 3475 0000NEW HAVEN           CT,4.24,495 ORCH ST,"NEW HAVEN
CT",6511,UNITED STATES,Car Maintenance,,,,,
05/16/22,EBAY O*25-08633-0455SAN JOSE,6.37,2535 North First Street,"SAN JOSE
CA",95131,UNITED STATES,Art,,,,,
05/23/22,E-Payment,173.00,,,,,Car Loan,,,,,
05/23/22,E-Payment,116.00,,,,,Car Insurance,,,,,
05/26/22,STOP & SHOP         BRANFORD            CT,16.42,22 LEETES IS RD STE 4,"BRANFORD
CT",6405,UNITED STATES,Groceries,,,,,
05/27/22,"MERWIN'S ART SHOP, LNEW HAVEN           CT",281.83,1052 CHAPEL ST,"NEW HAVEN
CT",06510-0000,UNITED STATES,Art,,,,,
05/28/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,35.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
06/01/22,YALE UNIVERSITY AMANNEW HAVEN           CT,6.00,"2 WHITNEY AVE 1
FL","NEW HAVEN
CT",6520,UNITED STATES,Art,,,,,
06/03/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
06/03/22,MARSHALLS           CLARK               NJ,29.98,77 CENTRAL AVE,"CLARK
NJ",7066,UNITED STATES,Clothing,,,,,
06/04/22,SLING TV            ENGLEWOOD           CO,37.22,9601 SOUTH MERIDIAN BLVD,"ENGLEWOOD
CO",80112-5905,UNITED STATES,Entertainment,,,,,
06/06/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,35.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
06/08/22,DISCORD* NITROMONTHLSAN FRANCISCO       CA,9.99,"444 DE HARO ST
SUITE 200","SAN FRANCISCO
CA",94107,UNITED STATES,Misc,,,,,
06/12/22,AplPay PARKMOBILE   ITHACA              NY,2.10,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
06/12/22,FOUR SEASONS RESTAURITHACA              NY,109.31,404 EDDY ST,"ITHACA
NY",14850,UNITED STATES,Restaurants,,,,,
06/12/22,FOUR SEASONS RESTAURITHACA              NY,291.38,404 EDDY ST,"ITHACA
NY",14850,UNITED STATES,Restaurants,,,,,
06/13/22,AplPay PARKMOBILE   ITHACA              NY,8.70,1100 SPG ST NORTH WEST STE 200,"ATLANTA
GA",30309,UNITED STATES,Parking & Tolls,,,,,
06/13/22,CORNELL STORE LOW REITHACA              NY,186.94,135 HO PLZ,"ITHACA
NY",14853,UNITED STATES,Clothing,,,,,
06/15/22,CANTALOUPE 2 0000   MALVERN             PA,1.65,100 DEERFIELD LN STE 300,"MALVERN
PA",19355,UNITED STATES,Groceries,,,,,
06/15/22,CANTALOUPE 2 0000   MALVERN             PA,1.65,100 DEERFIELD LN STE 300,"MALVERN
PA",19355,UNITED STATES,Groceries,,,,,
06/15/22,CANTALOUPE 2 0000   MALVERN             PA,2.65,100 DEERFIELD LN STE 300,"MALVERN
PA",19355,UNITED STATES,Groceries,,,,,
06/17/22,BOTANIST COFFEEHOUSEIthaca              NY,75.60,1201 NORTH TIOGA ST,"ITHACA
NY",14850,UNITED STATES,Restaurants,,,,,
06/18/22,CORNELL STORE LOW REITHACA              NY,111.71,135 HO PLZ,"ITHACA
NY",14853,UNITED STATES,Clothing,,,,,
06/19/22,TST* COLLEGETOWN BAGITHACA              NY,12.20,420 COLLEGE AVE,"ITHACA
NY",14850-4626,UNITED STATES,Restaurants,,,,,
06/19/22,TST* COLLEGETOWN BAGITHACA              NY,15.87,420 COLLEGE AVE,"ITHACA
NY",14850-4626,UNITED STATES,Restaurants,,,,,
06/21/22,E-Payment,173.00,,,,,Car Loan,,,,,
06/21/22,E-Payment,116.00,,,,,Car Insurance,,,,,
06/24/22,KATZ'S DELI         WOODBRIDGE          CT,300.00,1658 LITCHFIELD TPKE,"WOODBRIDGE
CT",6525,UNITED STATES,Restaurants,,,,,
06/24/22,P&M ORANGE STREET MANEW HAVEN           CT,34.33,721 ORANGE ST,"NEW HAVEN
CT",6511,UNITED STATES,Groceries,,,,,
06/24/22,STAPLES 00446       HAMDEN              CT,2.01,"2335 DIXWELL AVE
-","HAMDEN
CT",06514-2100,UNITED STATES,Misc,,,,,
06/24/22,STAPLES 00446       HAMDEN              CT,613.08,"2335 DIXWELL AVE
-","HAMDEN
CT",06514-2100,UNITED STATES,Misc,,,,,
06/24/22,TARGET              ANSONIA             CT,6.37,20 WEST MAIN ST,"ANSONIA
CT",6401,UNITED STATES,Groceries,,,,,
06/25/22,CHIPOTLE 1927 0000  HAMDEN              CT,19.54,2165 DIXWELL AVE,"HAMDEN
CT",06514-2116,UNITED STATES,Restaurants,,,,,
06/25/22,COMCAST BOSTON CS 1X(800)266-2278       NH,25.00,"676 ISLAND POND RD
-","MANCHESTER
NH",3109,UNITED STATES,Entertainment,,,,,
06/25/22,TARGET              NORTH HAVEN         CT,43.95,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",6473,UNITED STATES,Groceries,,,,,
06/26/22,TARGET              NORTH HAVEN         CT,138.79,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",6473,UNITED STATES,Groceries,,,,,
06/27/22,USPS CHANGE OF ADDRE800-238-3150        TN,1.10,6060 PRIMACY PKWY,"MEMPHIS
TN",38119,UNITED STATES,Misc,,,,,
07/02/22,Amazon Web Services AWS.Amazon.com      WA,0.17,1512 2ND AVE,"SEATTLE
WA",98101,UNITED STATES,Subscription,,,,,
07/03/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
07/04/22,E-Payment,1860.00,,,,,Housing,,,,,
07/05/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,50.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
07/09/22,85 ROUTE 1 575457192METUCHEN            NJ,34.00,12700 NORTHBOROUGH DR,"HOUSTON
TX",77067-2552,UNITED STATES,Gas,,,,,
07/09/22,CIROS PIZZA 02177002COLONIA             NJ,13.88,140 LK AVE,"COLONIA
NJ",7067,UNITED STATES,Restaurants,,,,,
07/09/22,VIOC AN3120 AN31    EDISON              NJ,50.21,1167 STATE RT 23,"KINNELON
NJ",07405-2038,UNITED STATES,Car Maintenance,,,,,
07/11/22,E-Payment,173.00,,,,,Car Loan,,,,,
07/11/22,E-Payment,116.00,,,,,Car Insurance,,,,,
07/11/22,BARNES & NOBLE      MILFORD             CT,39.88,1375 BOSTON POST RD,"MILFORD
CT",6460,UNITED STATES,Books,,,,,
07/12/22,E-Payment,54.02,,,,,Electric Bill,,,,,
07/12/22,BUNGALOW            SAN FRANCISCO       CA,1707.06,"1 LETTERMAN DR
SUITE C 500","SAN FRANCISCO
CA",94129,UNITED STATES,Travel,,,,,
07/13/22,SPIRIT AIRLINES DIRECT SALES,119.58,"18121 EAST 8 MILE RD
STE 100","EASTPOINTE
MI",48021-3241,UNITED STATES,Travel,,,,,
07/14/22,EXPEDIA 723468289064EXPEDIA.COM         WA,137.16,333 108TH AVE NORTH EAST,"BELLEVUE
WA",98004,UNITED STATES,Travel,,,,,
07/15/22,COMCAST CABLE COMM  800-COMCAST         NH,14.99,"676 ISLAND POND RD
-","MANCHESTER
NH",3109,UNITED STATES,Entertainment,,,,,
07/16/22,1371 MIDDLETOWN AVE NORTHFORD           CT,30.00,"ATTN TEXACO CHARGEBACKS
12700 NORTHBOROUGH","HOUSTON
TX",77067,UNITED STATES,Gas,,,,,
07/16/22,B&N BOOK YALE UNIV 3NEW HAVEN           CT,226.39,77 BROADWAY,"NEW HAVEN
CT",06511-3411,UNITED STATES,Books,,,,,
07/17/22,KAMA SUSHI          STRATFORD           CT,25.00,2410 MAIN ST,"STRATFORD
CT",06615-5940,UNITED STATES,Restaurants,,,,,
07/17/22,STAPLES 01663       MILFORD             CT,22.31,"1371 BOSTON POST ROAD
-","MILFORD
CT",6460,UNITED STATES,Misc,,,,,
07/18/22,SAKANA SUSHI. 0001  MONROE              CT,24.05,435 MAIN ST,"MONROE
CT",6468,UNITED STATES,Restaurants,,,,,
07/20/22,STOP & SHOP #2633   NEW HAVEN           CT,29.92,140 WHALLEY AVE,"NEW HAVEN
CT",6511,UNITED STATES,Groceries,,,,,
07/21/22,CUMBERLAND FARMS 476MONROE              CT,20.25,455 MAIN ST,"MONROE
CT",6468,UNITED STATES,Gas,,,,,
07/21/22,SKULL & COMBS CO.   New Haven           CT,45.00,832 STATE ST,"NEW HAVEN
CT",6511,UNITED STATES,Misc,,,,,
07/23/22,DISCORD* NITROMONTHLSAN FRANCISCO       CA,9.99,"444 DE HARO ST
SUITE 200","SAN FRANCISCO
CA",94107,UNITED STATES,Misc,,,,,
07/23/22,EASY CAR TRANSPORT LREDDING             CA,100.00,"STE 200
1267 WILLIS ST STE 200","REDDING
CA",96001,UNITED STATES OF AMERICA (THE),Travel,,,,,
07/23/22,MACYS  SHORT HILLS 0SHORT HILLS         NJ,150.00,KENNEDY PARKWAY WEST,"SHORT HILLS
NJ",7078,UNITED STATES,Clothing,,,,,
07/24/22,DELICIOUS HEIGHTS 00BERKELEY HEIG       NJ,155.91,"428 SPRINGFIELD AVE
STE B","BERKELEY HEIGHTS
NJ",07922-1197,UNITED STATES,Restaurants,,,,,
07/25/22,VENMO GOODS & SERVICNEW YORK            NY,300.00,117 BARROW ST,"NEW YORK
NY",100,UNITED STATES,Furniture,,,,,
07/26/22,WALGREENS           NEW HAVEN           CT,18.07,88 YORK ST,"NEW HAVEN
CT",6511,UNITED STATES,Health Care,,,,,
07/26/22,EDX                 CAMBRIDGE           MA,149.00,"141 PORTLAND ST
9TH FLOOR","CAMBRIDGE
MA",2139,UNITED STATES,Books,,,,,
07/27/22,AMAZON MARKEPLACE NA PA,19.11,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Books,,,,,
07/27/22,CHANGE *AETNA PROVID800-495-4685        TN,2.85,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
07/27/22,CHANGE *AETNA PROVID800-495-4685        TN,11.83,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
07/27/22,CHANGE *AETNA PROVID800-495-4685        TN,16.30,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
07/27/22,CHANGE *AETNA PROVID800-495-4685        TN,25.00,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
07/27/22,CHANGE *AETNA PROVID800-495-4685        TN,25.00,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
07/27/22,CHANGE *AETNA PROVID800-495-4685        TN,35.74,3055 LEBANON PIKE,"NASHVILLE
TN",37214,UNITED STATES,Health Care,,,,,
07/27/22,EXXONMOBIL 4792     MONROE              CT,44.01,-,"(800) 243-9966
TX",77389,UNITED STATES,Gas,,,,,
07/30/22,EXXONMOBIL 9970     RAHWAY              NJ,47.08,-,"(800) 243-9966
TX",77389,UNITED STATES,Gas,,,,,
07/31/22,APPLEBEE'S          CLARK               NJ,62.31,1255 RARITAN RD UNIT 310,"CLARK
NJ",7066,UNITED STATES,Restaurants,,,,,
08/01/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,50.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
08/01/22,TARGET.COM          800-591-3869        MN,12.40,"33 SOUTH 6TH ST
STE CC1","MINNEAPOLIS
MN",55402-3700,UNITED STATES,Groceries,,,,,
08/02/22,BUNGALOW            SAN FRANCISCO       CA,1454.40,"1 LETTERMAN DR
SUITE C 500","SAN FRANCISCO
CA",94129,UNITED STATES,Travel,,,,,
08/03/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
08/04/22,E-Payment,10.72,,,,,Gas Bill,,,,,
08/04/22,RITE AID 10370 1037 MONROE              CT,7.20,435 MAIN ST STE 1,"MONROE
CT",6468,UNITED STATES,Groceries,,,,,
08/05/22,BT*STUDY.COM 8772644MOUNTAIN VIEW       CA,6.37,"100 VW ST
SUITE 202","MOUNTAIN VIEW
CA",94041,UNITED STATES,Books,,,,,
08/06/22,THREE GIRLS VEGAN CRGuilford            CT,50.00,645 BOSTON POST RD,"GUILFORD
CT",6437,UNITED STATES,Restaurants,,,,,
08/06/22,WENDY'S BRANFORD 000BRANFORD            CT,2.14,1016 WEST MAIN ST,"BRANFORD
CT",6405,UNITED STATES,Restaurants,,,,,
08/09/22,E-Payment,1550.00,,,,,Housing,,,,,
